event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
65,603393,2023,0,1,0,0,0.0018193088256916504,bottom_20_risk,2024-04-27,2024-04-29,0.011004503458882375,-0.014501599666197573,-0.006223820104883648,0.008512486239505401
66,603488,2023,0,0,0,0,0.0028925494219757247,bottom_20_risk,2024-03-28,2024-03-28,0.02497400627605828,-0.04751746822320024,-0.04544592505379341,-0.0652688080763687
67,002695,2023,0,0,0,0,0.002758738112865152,bottom_20_risk,2024-03-30,2024-04-01,0.014932230044915284,0.006181096378142459,-0.033955933174602104,0.006376235856278334
68,001378,2023,0,0,0,0,0.0024526521969074743,bottom_20_risk,2024-04-25,2024-04-25,-0.002178984866343159,0.05909369729299219,-0.0036032338039928558,-0.028650228095961072
69,002584,2021,0,0,0,0,,not_test_year,2022-04-22,2022-04-22,-0.1275236999789212,-0.05626382515025652,0.017786124142788462,-0.1090187193985388
70,002607,2022,1,1,0,0,,not_test_year,2023-04-28,2023-04-28,0.10478887426138284,0.0337747247314939,0.09771483349169607,0.13791204580959238
71,000883,2023,0,1,0,0,0.002634309112119166,bottom_20_risk,2024-04-27,2024-04-29,0.003746898713734681,-0.0012092461270533095,0.046188840600157044,-0.049395162435980855
72,000898,2023,1,0,0,0,0.986215849949993,top_20_risk,2024-03-29,2024-03-29,-0.013805526820314995,0.045605330210223505,-0.016854459963213886,-0.027902664432587043
73,002633,2023,1,1,1,1,0.945955323014957,middle_60_risk,2024-04-30,2024-04-30,0.18109103456653208,0.09341610290827684,0.05408288719683774,0.08164603558299033
74,603353,2023,0,1,0,0,0.0027327074915729703,bottom_20_risk,2024-04-27,2024-04-29,-0.04629859523173341,-0.029024577244144645,-0.15182070230052047,-0.01292893778451043
75,601717,2023,0,0,0,0,0.0028221157373623748,bottom_20_risk,2024-03-29,2024-03-29,0.0757030048862517,0.08926043606525735,0.14147698046947643,0.019134502665414055
76,000877,2023,1,0,0,1,0.9914288546794706,top_20_risk,2024-03-27,2024-03-27,0.03406194699149179,-0.0065879391764129824,-0.12234992927748167,0.02442147710424236
77,600828,2023,1,0,0,0,0.9803522212802485,top_20_risk,2024-03-21,2024-03-21,0.018457220749435677,-0.028959177355965315,-0.20154838738707692,-0.0176848562002766
78,000762,2022,0,0,0,0,,not_test_year,2023-04-27,2023-04-27,-0.017045637374218492,-0.08293782528873594,0.004349775876882678,-0.0244075078875422
79,603259,2023,0,0,0,0,0.005863350802647851,middle_60_risk,2024-03-19,2024-03-19,-0.02157337398485959,-0.0986327195312312,-0.1492897327252708,-0.024822001675588568
80,601886,2023,0,0,0,0,0.0041356896451046335,bottom_20_risk,2024-03-28,2024-03-28,0.012777309961275574,-0.00033758628590163653,-0.056594465381421655,-0.03495192729765928
81,605028,2023,0,0,0,0,0.002050358213742428,bottom_20_risk,2024-03-20,2024-03-20,0.0008377946633497668,-0.036422664225500445,0.009037733572219153,0.06763167425619465
82,002172,2021,1,1,0,0,,not_test_year,2022-04-29,2022-04-29,0.03128202496156751,0.06779070025784939,0.02620899537790644,-0.14451128684525538
83,002551,2022,1,1,1,1,,not_test_year,2023-04-29,2023-05-04,0.019709469186736883,0.00012592097926433787,0.03766615722627309,0.03580083617792129
84,000537,2023,0,1,0,0,0.011614837979103189,middle_60_risk,2024-04-30,2024-04-30,0.005404988991823068,0.006263071028170253,0.14960257048016767,-0.02545522161458391
85,603825,2023,1,1,0,0,0.9849637764076972,top_20_risk,2024-04-30,2024-04-30,0.016238954102087977,-0.009630041110497256,-0.10044674173354429,0.09829490086404236
86,001313,2023,1,1,0,0,0.9911197772968597,top_20_risk,2024-04-29,2024-04-29,0.08816814521766625,0.05312661779213301,-0.04848118688826897,0.1161982857384537
87,002180,2023,1,1,0,0,0.994887355194293,top_20_risk,2024-04-27,2024-04-29,0.11591572926622817,0.03271859373163588,0.10742966784010355,0.09460232417291903
88,002496,2023,1,0,0,0,0.991302780118634,top_20_risk,2024-04-25,2024-04-25,0.07150512677021126,0.16333129214601216,0.014038438241675055,0.03823150950291687
89,603189,2023,1,0,0,0,0.9974696831960137,top_20_risk,2024-04-16,2024-04-16,-0.10055877708286964,0.009587450483470983,0.19182132765901527,-0.07663411836937206
90,002641,2022,1,0,0,0,,not_test_year,2023-03-31,2023-03-31,-0.002070837056824315,0.011170219664925818,0.09132891650032049,-0.032357675908166406
91,002025,2023,0,0,0,0,0.015842211175856085,middle_60_risk,2024-03-30,2024-04-01,-0.01130096725117069,-0.009605057813157902,0.03625080204113418,-0.08936855951706946
92,603360,2022,0,1,0,0,,not_test_year,2023-04-29,2023-05-04,-0.013010063096320135,0.001835563358076775,0.10694387125373328,0.020619721433104865
93,002100,2023,1,1,0,0,0.9925529823306759,top_20_risk,2024-04-29,2024-04-29,0.0521803922194507,0.11567836401895293,0.1989172880654444,0.04667466900441397
94,601360,2023,1,0,0,0,0.8238246300402371,middle_60_risk,2024-04-20,2024-04-22,-0.01639540824725283,0.061806402662484605,0.028735939357214302,-0.0972870412626462
95,000017,2022,1,0,0,0,,not_test_year,2023-04-25,2023-04-25,0.0006300229326925422,0.04788382610235142,0.1252974237851202,-0.005949934406715651
96,601872,2023,0,0,0,0,0.0033627086517142514,bottom_20_risk,2024-03-28,2024-03-28,0.02508525814492557,0.023361597817932567,0.047421636116833255,0.014393572392226606
97,603895,2023,1,1,0,1,0.9862928983064084,top_20_risk,2024-04-27,2024-04-29,0.011472793836438067,0.003323938339318655,-0.06783376490777504,0.056501772945522055
98,601127,2022,1,1,0,0,,not_test_year,2023-04-29,2023-05-04,-0.035407160909238344,-0.011787423081022874,-0.07712029850462598,-0.04417822428101481
99,600779,2023,0,1,0,0,0.00646659506560842,middle_60_risk,2024-04-27,2024-04-29,-0.025163909836626974,-0.010182453460749308,0.014605858062491595,0.05567127628100599
100,603338,2023,0,0,0,0,0.0016632303467329715,bottom_20_risk,2024-04-25,2024-04-25,-0.03540207087133884,0.00015382970217403535,0.016634376087782288,-0.07825122627987058
101,002530,2023,1,0,0,0,0.9518577759602155,middle_60_risk,2024-04-26,2024-04-26,0.06989006087664129,0.027447899859999514,-0.013051778368484923,0.018808234914950872
102,002534,2023,1,0,0,0,0.9945455823882222,top_20_risk,2024-03-30,2024-04-01,0.04085149189164006,0.012933193032088064,0.0562590021555226,-0.036784478024408096
103,002424,2022,0,1,1,1,,not_test_year,2023-04-29,2023-05-04,0.025727071073819885,-0.0016963928615668644,0.011835967050078389,0.024135086538725425
104,601900,2021,0,1,0,0,,not_test_year,2022-04-28,2022-04-28,-0.02229239550238582,0.03947268691868222,0.10056976525426409,-0.09062252670578763
105,000557,2021,0,1,0,0,,not_test_year,2022-04-28,2022-04-28,-0.009267080387713289,0.05066468185537465,0.1960549716453912,-0.09699319127576611
106,603912,2023,0,0,0,0,0.019647547398644685,middle_60_risk,2024-03-22,2024-03-22,0.04944540436416256,-0.006934753399549742,-0.22816897423107185,0.04091310222550204
107,000056,2023,1,1,0,0,0.9851069780564733,top_20_risk,2024-04-27,2024-04-29,0.063021357348652,0.04911045983377871,-0.07749659811698306,0.015905261711405383
108,000679,2023,1,0,0,0,0.9834749948835662,top_20_risk,2024-04-18,2024-04-18,-0.07547526233850188,0.029395593401319142,0.012116973778484197,-0.2611884629353627
109,600903,2023,0,0,0,0,0.0030128008937028118,bottom_20_risk,2024-04-20,2024-04-22,-0.00519555834594243,-0.033049244188341986,0.0036352850995179375,-0.02405677845061338
110,000059,2023,1,0,0,0,0.9954074423695448,top_20_risk,2024-04-13,2024-04-15,-0.10351930547774701,-0.22971695935563352,-0.09785229570874587,0.11832189739569898
111,002074,2023,0,0,0,0,0.0047182611693434105,bottom_20_risk,2024-04-20,2024-04-22,-0.04674621555431968,0.0017838446431991395,0.13565983855102925,-0.06808271074772032
