group,window_day,mean_cumulative_abnormal_return,se_cumulative_abnormal_return,events,ci_low,ci_high
Late disclosure,2,-0.05232483209648671,0.01399440935806227,83,-0.07975387443828875,-0.02489578975468466
Late disclosure,3,-0.0551898788581933,0.014718985555538728,83,-0.08403909054704921,-0.026340667169337393
Late disclosure,4,-0.058042539085633865,0.015233503303312626,83,-0.0879002055601266,-0.02818487261114112
Late disclosure,5,-0.05731889813447647,0.015755719255342526,83,-0.08820010787494782,-0.02643768839400512
Late disclosure,6,-0.060670679178981585,0.017477875734806317,83,-0.09492731561920197,-0.026414042738761204
Late disclosure,7,-0.05855100649575066,0.018586439119882024,83,-0.09498042717071942,-0.022121585820781893
Late disclosure,8,-0.05863880805604601,0.018707997610256513,83,-0.09530648337214878,-0.021971132739943243
Late disclosure,9,-0.05581606361215188,0.018581422280102736,83,-0.09223565128115324,-0.019396475943150512
Late disclosure,10,-0.056354561863420805,0.01871120741039682,83,-0.09302852838779857,-0.01968059533904304
Late disclosure,11,-0.05259749720958447,0.018674338697900257,83,-0.08919920105746898,-0.015995793361699963
Late disclosure,12,-0.050748289496491454,0.01910056237556474,83,-0.08818539175259835,-0.013311187240384562
Late disclosure,13,-0.05457868982337209,0.018925856800917733,83,-0.09167336915317084,-0.017484010493573336
Late disclosure,14,-0.0495644500842934,0.018275781208296264,83,-0.08538498125255409,-0.013743918916032723
Late disclosure,15,-0.054089929874697774,0.019253354024459084,83,-0.09182650376263758,-0.016353355986757967
Late disclosure,16,-0.051653088892169706,0.020482571090920106,83,-0.09179892823037311,-0.0115072495539663
Late disclosure,17,-0.05399565341617999,0.02166880288508207,83,-0.09646650707094084,-0.011524799761419131
Late disclosure,18,-0.05635504156073213,0.022670839447029776,83,-0.10078988687691048,-0.011920196244553767
Late disclosure,19,-0.05538097127525485,0.02303440207233574,83,-0.10052839933703289,-0.010233543213476796
Late disclosure,20,-0.048433537976867606,0.023949789998423218,83,-0.09537512637377711,-0.0014919495799581017
