symbol,firm_name_schedule,fiscal_year,first_appointment,actual_disclosure,revision_count,delay_days,postponed,advanced,long_postponement,first_doy,actual_doy,actual_month,april_disclosure,after_apr20,name,industry,loss_current,negative_eps_current,large_profit_drop_current,revenue_drop_current,bad_news_realized,severe_bad_news,lag_size,lag_profitability,lag_leverage,lag_revenue_growth,lag_profit_growth,lag_eps,lag_book_value,lag_cashflow_ps,lag_liquidity,lag_margin,lag_inventory_turnover,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice,days_forecast_to_report,industry_group,actual_doy_pct_year,first_doy_pct_year,late_disclosure_q75,late_disclosure_q67,initial_late_q75,predicted_bad_news_risk,risk_bucket,strata,event_id
002172,澳洋健康,2021,2022-04-29,2022-04-29,0,0.0,0,0,0,119.0,119,4,1,1,澳洋健康,化纤行业,1,1,1,0,1,1,3.4604092412940015,-38.84,84.93,3.4,-7.95,-0.59,1.23,0.16,0.61,0.5,9.62,1,1,1,-94.45,-49.836666666666666,-952500000.0,2022-01-29,2022-01-29,90.0,Other,0.8481042654028436,0.8604265402843602,1,1,1,,not_test_year,2021_bad1_late1,82
002551,尚荣医疗,2022,2023-04-11,2023-04-29,1,18.0,1,0,1,101.0,119,4,1,1,尚荣医疗,医疗器械,1,1,1,0,1,1,2.9391619220655967,1.48,30.79,-21.04,-72.54,0.0536,3.75,0.29,2.19,18.22,4.15,1,1,1,-1445.79,-1135.55,-430597700.0,2023-01-20,2023-01-20,99.0,Other,0.9315068493150684,0.29840182648401825,1,1,0,,not_test_year,2022_bad1_late1,83
000537,绿发电力,2023,2024-04-30,2024-04-30,0,0.0,0,0,0,121.0,121,4,1,1,绿发电力,房地产,0,0,0,0,0,0,3.563882963939251,3.05,52.9,-59.6944,301.16,0.34,8.81,-1.7978,3.39,53.42,531.0055999999997,1,0,0,44.76,44.9325,0.49,2024-01-13,2024-01-13,108.0,房地产,0.9419383653416704,0.9537740062527914,1,1,1,0.011614837979103189,middle_60_risk,,84
603825,ST华扬,2023,2024-04-30,2024-04-30,0,0.0,0,0,0,121.0,121,4,1,1,ST华扬,其他,1,1,0,1,1,1,4.454812304399529,-33.53,77.12,-35.64,-435.1,-1.8162,5.87,2.07,1.19,11.36,46.13,1,1,1,16.285,16.384999999999998,-540000000.0,2024-01-27,2024-01-27,94.0,其他,0.9419383653416704,0.9537740062527914,1,1,1,0.9849637764076972,top_20_risk,,85
001313,粤海饲料,2023,2024-04-29,2024-04-29,0,0.0,0,0,0,120.0,120,4,1,1,粤海饲料,其他,0,0,1,0,1,0,4.275554390163365,4.31,38.66,5.45,-38.44,0.17,3.99,-0.33,1.87,9.82,9.9,1,1,1,-72.63,-69.3675,0.055,2024-01-30,2024-01-30,90.0,其他,0.8631085305940152,0.8847699866011612,1,1,1,0.9911197772968597,top_20_risk,,86
002180,奔图科技,2023,2024-04-27,2024-04-27,0,0.0,0,0,0,118.0,118,4,1,1,纳思达,电子信息,1,1,1,0,1,1,5.558949362273238,12.28,59.27,13.44,60.15,1.3227,11.21,0.8,1.53,32.61,3.49,1,1,1,-438.145,-416.6925,-2643000000.0,2024-01-31,2024-01-31,87.0,电子信息,0.7791424743188924,0.7972309066547566,1,1,1,0.994887355194293,top_20_risk,,87
002496,*ST辉丰,2023,2024-04-25,2024-04-25,0,0.0,0,0,0,116.0,116,4,1,1,*ST辉丰,农药化肥,1,1,0,0,1,1,1.3029127521808397,-20.82,43.44,-59.6944,-247.83,-0.3,1.3,-0.02,0.51,33.46,1.69,1,1,1,-17.97,-1.2974999999999994,-385000000.0,2024-01-30,2024-01-30,86.0,Other,0.572577043322912,0.582402858418937,0,0,0,0.991302780118634,top_20_risk,,88
603189,*ST网达,2023,2024-04-16,2024-04-16,0,0.0,0,0,0,107.0,107,4,1,0,网达软件,其他,1,1,1,0,1,1,1.4279160358107101,2.15,8.09,-12.6,-44.12,0.14,6.38,0.11,8.32,35.22,4.18,1,1,1,-1115.23,-737.2725,-104000000.0,2024-01-19,2024-01-19,88.0,其他,0.34769986601161235,0.3586422510049129,0,0,0,0.9974696831960137,top_20_risk,,89
002641,公元股份,2022,2023-03-31,2023-03-31,0,0.0,0,0,0,90.0,90,3,0,0,公元股份,塑料制品,0,0,1,0,1,1,4.497696327682858,11.8,39.4,26.22,-25.04,0.47,4.09,0.27,1.65,18.8,5.25,1,1,1,-86.75,-84.625,0.085,2023-01-07,2023-01-07,83.0,Other,0.20639269406392693,0.20799086757990867,0,0,0,,not_test_year,2022_bad1_late0,90
002025,航天电器,2023,2024-03-30,2024-03-30,0,0.0,0,0,0,90.0,90,3,0,0,航天电器,电子器件,0,0,0,0,0,0,4.11414718951828,10.08,34.02,16.96,13.59,1.23,12.56,0.39,2.82,33.0,3.95,0,0,0,5.4,33.17,0.22,,,999.0,电子器件,0.20477891916033944,0.21281822242072354,0,0,0,0.015842211175856085,middle_60_risk,,91
603360,百傲化学,2022,2023-04-29,2023-04-29,0,0.0,0,0,0,119.0,119,4,1,1,百傲化学,其他,0,0,0,0,0,0,2.403334996094189,25.12,37.17,34.25,12.96,1.0,4.02,0.54,1.36,46.69,3.66,1,0,0,56.36,58.0225,396330000.0,2023-01-31,2023-01-31,88.0,其他,0.9315068493150684,0.9230593607305936,1,1,1,,not_test_year,2022_bad0_late1,92
002100,天康生物,2023,2024-04-29,2024-04-29,0,0.0,0,0,0,120.0,120,4,1,1,天康生物,农林牧渔,1,1,1,0,1,1,5.141020074658817,4.07,50.26,6.47,139.95,0.21,5.84,0.24,2.0,10.48,2.65,1,1,1,-597.43,-577.7025,-1500000000.0,2024-01-31,2024-01-31,89.0,农林牧渔,0.8631085305940152,0.8847699866011612,1,1,1,0.9925529823306759,top_20_risk,,93
601360,三六零,2023,2024-04-20,2024-04-20,0,0.0,0,0,0,111.0,111,4,1,1,三六零,其他,1,1,0,0,1,1,4.566533302373173,-6.67,17.97,-12.54,-344.23,-0.31,4.44,0.08,4.66,58.8,6.46,1,1,1,61.91,70.52,-710000000.0,2024-01-31,2024-01-31,80.0,其他,0.46114336757481017,0.4714158106297454,0,0,0,0.8238246300402371,middle_60_risk,,94
000017,深中华A,2022,2023-04-25,2023-04-25,0,0.0,0,0,0,115.0,115,4,1,1,深中华A,其他,1,1,1,0,1,1,1.014831405243495,-20.04,75.35,40.21,-152.48,-0.004,0.13,0.03,1.26,7.65,19.1,1,1,1,-277.51,-58.70499999999999,-7500000.0,2023-01-31,2023-01-31,84.0,其他,0.5668949771689498,0.5616438356164384,0,0,0,,not_test_year,2022_bad1_late0,95
